geo,year,gdp_million_eur
AT,2019,395706.77
AT,2020,380317.88
AT,2021,406231.49
AT,2022,449382.19
AT,2023,477837.33
AT,2024,494087.56
BE,2019,479444.9
BE,2020,463750.9
BE,2021,506047.2
BE,2022,561309.1
BE,2023,602376.3
BE,2024,620271.8
BG,2019,61194.42
BG,2020,61855.55
BG,2021,71343.94
BG,2022,86078.19
BG,2023,94525.11
BG,2024,104767.22
CY,2019,23400.85
CY,2020,22373.64
CY,2021,25679.89
CY,2022,29645.4
CY,2023,32439.16
CY,2024,34770.17
CZ,2019,229406.66
CZ,2020,220310.64
CZ,2021,246012.29
CZ,2022,286976.8
CZ,2023,319099.11
CZ,2024,320786.54
DE,2019,3537280.0
DE,2020,3450720.0
DE,2021,3682340.0
DE,2022,3989390.0
DE,2023,4219310.0
DE,2024,4328970.0
DK,2019,308546.19
DK,2020,312118.31
DK,2021,343318.61
DK,2022,380567.45
DK,2023,374173.58
DK,2024,392400.73
EE,2019,28472.06
EE,2020,27859.29
EE,2021,31453.31
EE,2022,36300.93
EE,2023,38353.42
EE,2024,39847.74
EL,2019,185181.21
EL,2020,167539.52
EL,2021,184574.58
EL,2022,207008.66
EL,2023,224686.24
EL,2024,236735.95
ES,2019,1253710.0
ES,2020,1129214.0
ES,2021,1235474.0
ES,2022,1375863.0
ES,2023,1497761.0
ES,2024,1594330.0
FI,2019,238518.0
FI,2020,236387.0
FI,2021,248764.0
FI,2022,266135.0
FI,2023,273005.0
FI,2024,275993.0
FR,2019,2432206.8
FR,2020,2318276.2
FR,2021,2508102.3
FR,2022,2653997.2
FR,2023,2826541.5
FR,2024,2919899.9
HR,2019,55767.81
HR,2020,50717.77
HR,2021,58390.36
HR,2022,67609.45
HR,2023,79186.33
HR,2024,85905.23
HU,2019,147373.18
HU,2020,138954.49
HU,2021,154971.73
HU,2022,168546.15
HU,2023,197178.65
HU,2024,206040.13
IE,2019,363752.63
IE,2020,381728.69
IE,2021,448445.12
IE,2022,520718.39
IE,2023,524728.75
IE,2024,562794.21
IT,2019,1804066.8
IT,2020,1670011.9
IT,2021,1842507.4
IT,2022,1998072.6
IT,2023,2142601.7
IT,2024,2199619.4
LT,2019,49239.23
LT,2020,50264.61
LT,2021,56709.12
LT,2022,67081.12
LT,2023,74316.97
LT,2024,78996.19
LU,2019,62415.03
LU,2020,64499.24
LU,2021,73039.5
LU,2022,76731.2
LU,2023,82115.47
LU,2024,86180.28
LV,2019,29567.0
LV,2020,29224.34
LV,2021,32283.78
LV,2022,36088.74
LV,2023,39564.22
LV,2024,40359.43
MT,2019,14594.16
MT,2020,14362.38
MT,2021,16680.19
MT,2022,17985.15
MT,2023,20923.41
MT,2024,23125.03
NL,2019,829767.0
NL,2020,816463.0
NL,2021,891550.0
NL,2022,993820.0
NL,2023,1050133.0
NL,2024,1122459.0
PL,2019,538423.54
PL,2020,531827.37
PL,2021,583001.4
PL,2022,661712.3
PL,2023,751931.75
PL,2024,848490.87
PT,2019,214489.9
PT,2020,201032.71
PT,2021,216493.75
PT,2022,243957.09
PT,2023,270352.62
PT,2024,289427.97
RO,2019,223341.43
RO,2020,219839.76
RO,2021,240986.57
RO,2022,280777.44
RO,2023,321577.9
RO,2024,353633.12
SE,2019,474202.91
SE,2020,478106.88
SE,2021,533953.58
SE,2022,547190.39
SE,2023,535176.76
SE,2024,558672.82
SI,2019,48156.45
SI,2020,46738.7
SI,2021,52032.4
SI,2022,56881.63
SI,2023,64050.01
SI,2024,67418.08
SK,2019,94547.48
SK,2020,94320.58
SK,2021,101891.57
SK,2022,109959.76
SK,2023,123538.7
SK,2024,130207.52
