geo,year,gdp_million_eur
IS,2024,30728.35
IS,2023,29353.7
IS,2022,27786.88
IS,2021,22232.94
IS,2020,19328.65
IS,2019,22308.65
AL,2024,25034.7
AL,2023,21751.15
AL,2022,18111.66
AL,2021,15281.35
AL,2020,13369.7
AL,2019,13915.28
BA,2024,27534.6
BA,2023,25548.48
BA,2022,23366.35
BA,2021,20061.62
BA,2020,17742.14
BA,2019,18288.04
ME,2024,7661.38
ME,2023,7077.15
ME,2022,5961.64
ME,2021,4934.67
ME,2020,4152.8
ME,2019,4896.09
MK,2024,15696.0
MK,2023,14680.68
MK,2022,13268.99
MK,2021,11864.65
MK,2020,10843.01
MK,2019,11255.66
RS,2024,83415.15
RS,2023,75318.52
RS,2022,63628.47
RS,2021,56067.7
RS,2020,49012.3
RS,2019,48093.48
