date,eu27_actual,synthetic_control,gap,period
2019-02-01,5.71493518184076e-05,3.344959676482955e-05,2.369975505357805e-05,pre
2019-03-01,2.9356354009750054e-05,3.463852040623747e-05,-5.282166396487414e-06,pre
2019-06-01,2.381561987930015e-05,2.8251915396991353e-05,-4.4362955176912025e-06,pre
2019-07-01,2.305752576629743e-05,2.248284698765225e-05,5.74678778645177e-07,pre
2019-08-01,2.5817273174583892e-05,3.2008622172619586e-05,-6.1913489980356935e-06,pre
2019-09-01,3.120659273766831e-05,1.8613410654608466e-05,1.2593182083059841e-05,pre
2019-10-01,3.5143050227990724e-05,4.49495362899385e-05,-9.806486061947778e-06,pre
2019-11-01,3.787692591162571e-05,4.6374806426367165e-05,-8.497880514741452e-06,pre
2019-12-01,5.110235716650011e-05,3.6399705960740226e-05,1.4702651205759885e-05,pre
2020-02-01,2.2778490097150313e-05,2.1448373022275786e-05,1.3301170748745269e-06,pre
2020-03-01,3.182821391060728e-05,3.5210517365899156e-05,-3.382303455291876e-06,pre
2020-04-01,2.1806393581714367e-05,1.785230642282615e-05,3.954087158888217e-06,pre
2020-05-01,2.2150751733161305e-05,2.5147360946917244e-05,-2.9966092137559393e-06,pre
2020-06-01,2.383250269629098e-05,2.6763087161252958e-05,-2.930584464961977e-06,pre
2020-07-01,2.578023771256206e-05,3.274878690754918e-05,-6.968549194987117e-06,pre
2020-09-01,3.599107792203172e-05,2.629786121912277e-05,9.693216702908954e-06,pre
2020-10-01,2.6639080861134513e-05,3.2426560208457806e-05,-5.787479347323293e-06,pre
2020-12-01,3.7907053886903296e-05,3.428168708619281e-05,3.625366800710485e-06,pre
2021-02-01,2.550963314337161e-05,3.541591534303483e-05,-9.906282199663217e-06,pre
2021-03-01,3.9510829430275526e-05,3.957355557942554e-05,-6.272614915001307e-08,pre
2021-04-01,2.8132732428013975e-05,2.4170206436026785e-05,3.9625259919871895e-06,pre
2021-05-01,2.9588548822688378e-05,3.301811199079858e-05,-3.4295631681102028e-06,pre
2021-06-01,2.053090130832602e-05,2.4988207476591177e-05,-4.457306168265157e-06,pre
2021-07-01,2.3146348105684227e-05,2.8655545506774144e-05,-5.5091974010899175e-06,post
2021-08-01,2.4045902415068104e-05,2.4927325458384974e-05,-8.814230433168695e-07,post
2021-10-01,3.624782404563146e-05,3.4047441888208046e-05,2.2003821574234154e-06,post
2021-11-01,2.8391819250546573e-05,3.688942572189414e-05,-8.497606471347565e-06,post
2021-12-01,3.34348142721279e-05,3.352717529831412e-05,-9.236102618621938e-08,post
2022-02-01,3.4825559685789453e-05,3.1827370527853386e-05,2.998189157936067e-06,post
2022-04-01,2.6825293472077977e-05,3.5418700383504575e-05,-8.593406911426599e-06,post
2022-06-01,2.4677533902852895e-05,2.339191684284275e-05,1.2856170600101463e-06,post
2022-07-01,2.3043403654721145e-05,2.3851164405210927e-05,-8.077607504897818e-07,post
2022-08-01,2.4986730628219666e-05,2.671159373913554e-05,-1.7248631109158743e-06,post
2022-09-01,3.202603876097361e-05,1.9452483496716638e-05,1.2573555264256974e-05,post
2022-10-01,3.854112694111855e-05,4.9437263838532776e-05,-1.0896136897414227e-05,post
2022-12-01,2.4758206547970455e-05,2.0264434969496688e-05,4.493771578473767e-06,post
2023-01-01,3.6277661904781844e-05,3.477691654575158e-05,1.5007453590302634e-06,post
2023-02-01,3.660868563208472e-05,2.7265916292670368e-05,9.342769339414355e-06,post
2023-03-01,2.1685136528213126e-05,2.5636761819048214e-05,-3.951625290835088e-06,post
2023-04-01,1.9952984788750253e-05,2.350282006785553e-05,-3.5498352791052778e-06,post
2023-05-01,2.628031530706451e-05,3.127706724895525e-05,-4.996751941890739e-06,post
2023-07-01,2.0372679196729306e-05,2.0443335510378246e-05,-7.065631364894015e-08,post
2023-08-01,1.7438196658281624e-05,2.3660446972164857e-05,-6.222250313883234e-06,post
2023-09-01,2.6719489971148174e-05,3.155326381701069e-05,-4.833773845862518e-06,post
2023-10-01,2.7814501330235966e-05,2.39488803906392e-05,3.865620939596766e-06,post
2023-12-01,8.597314585083016e-06,8.957388635586131e-06,-3.600740505031154e-07,post
2024-01-01,3.627927327169142e-05,3.466509927352551e-05,1.6141739981659071e-06,post
2024-03-01,2.1453787798961895e-05,2.7915113644807767e-05,-6.461325845845872e-06,post
2024-04-01,2.59139987481867e-05,3.5289916649480916e-05,-9.375917901294216e-06,post
2024-06-01,2.231606779927326e-05,2.2026004666170762e-05,2.9006313310249774e-07,post
2024-07-01,2.4394170927807902e-05,2.8108701069023783e-05,-3.7145301412158813e-06,post
2024-08-01,2.5178376381782693e-05,3.209286982797018e-05,-6.914493446187487e-06,post
2024-09-01,2.2605422631220257e-05,2.2640130171144124e-05,-3.470753992386666e-08,post
2024-10-01,3.656490680307698e-05,4.283411362757361e-05,-6.269206824496627e-06,post
2024-12-01,4.329866885426503e-05,3.457755177156715e-05,8.72111708269788e-06,post
